1;GLOSS BOMB ;Universal Lip Luminizer;18
2;GLOSS GOALZ ;Universal Lip Luminizer 3-PC Set;54
3;FU$$Y BALLERINA ;Priscilla's Pink Pout Lip Essentials;36
4;STARLIT COSMIC LIP DUO ;Shimmering Pink Pout Essentials;29
5;BOMB BABY ;Mini Lip And Face Set;23
6;COSMIC GLOSS ;Lip Glitter;19
7;GLOSS BOMB ;Universal Lip Luminizer;18
8;STUNNA LIP PAINT ;Longwear Fluid Lip Color;24
9;STUNNA LIP PAINT ;Longwear Fluid Lip Color;24
10;STUNNA LIP PAINT ;Longwear Fluid Lip Color;24
11;GLOSS BOMB ;Universal Lip Luminizer;18
12;STUNNA LIP PAINT ;Longwear Fluid Lip Color;24
13;POUTSICLE ;Juicy Satin Lipstick;20
14;POUTSICLE ;Juicy Satin Lipstick;20
15;POUTSICLE ;Juicy Satin Lipstick;20
16;POUTSICLE ;Juicy Satin Lipstick;20
17;POUTSICLE ;Juicy Satin Lipstick;20
18;POUTSICLE ;Juicy Satin Lipstick;20
19;POUTSICLE ;Juicy Satin Lipstick;20
20;STUNNA LIP PAINT ;Longwear Fluid Lip Color;24
21;STUNNA LIP PAINT ;Longwear Fluid Lip Color;24
22;STUNNA LIP PAINT ;Longwear Fluid Lip Color;24
23;FU$$Y BALLERINA ;Priscilla's Pink Pout Lip Essentials;36
24;SHE MOODY ;Hector's Sultry Metallic Brown Lip Set;43
