;PRODUCT;TIPO;PRICE
1;       Under the Sea Lip Blushes + High Gloss     ;Bundles;40
2;       Under the Sea Lipsticks     ;Bundles;45
3;       Beach Bum | Matte Lipstick     ;Matte Lipstick;17
4;       Paradise Please | Matte Lipstick     ;Matte Lipstick;17
5;       Endless Summer | Metallic Lipstick     ;Metals;16
6;       Boss Bay | Lip Blush     ;Lip Blush;16
7;       Bikini Bod | Lip Blush     ;Lip Blush;16
8;       You Are the Sun | High Gloss     ;Gloss;16
9;       Handbag Ho | Lip Liner     ;Lip Liner;12
10;       Allergic to Bullsh*t | Matte Liquid Lipstick     ;Liquid Lipstick;17
11;       The Bigger the Hoops | Matte Liquid Lipstick     ;Liquid Lipstick;17
12;       Posie K | Velvet Lip Kit     ;Lip Kits;27
13;       Bare | Matte Lip Kit     ;Lip Kits;29
14;       Snow Way Bae | Matte Lip Kit     ;Lip Kits;29
15;       Better Not Pout | Matte Lip Kit     ;Lip Kits;29
16;       Sweater Weather | Matte Lip Kit     ;Lip Kits;29
17;       Mind Ya Business | Velvet Lip Kit     ;Lip Kits;27
18;       Bad Lil Thing | Matte Lip Kit     ;Lip Kits;29
19;       Extraordinary | Matte Lip Kit     ;Lip Kits;29
20;       5 High Gloss Bundle     ;High Gloss;66
21;       Crystal | High Gloss     ;High Gloss;16
22;       I'm the Catch | High Gloss     ;High Gloss;16
23;       Slept On | High Gloss     ;High Gloss;16
24;       Lost Angel | High Gloss     ;High Gloss;16
25;       My Moon & Stars | High Gloss     ;High Gloss;16
26;       Valentine | Matte Lip Kit     ;Lip Kits;29
27;       Bite Me | Matte Lip Kit     ;Lip Kits;29
28;       Nude Lip Liner Set     ;Lip Liner;NA
29;       Nude Matte Lipstick Set     ;Matte Lipstick;NA
30;       Nude Lipstick + Liner Set     ;Matte Lipstick;NA
31;       Dirty Rose | Lip Liner     ;Lip Liner;12
32;       Soufflé | Lip Liner     ;Lip Liner;12
33;       Hot Chai | Lip Liner     ;Lip Liner;12
34;       Almost Friday | Matte Lipstick     ;Matte Lipstick;17
35;       Yes Baby | Matte Lipstick     ;Matte Lipstick;17
36;       Complete High Gloss Bundle     ;High Gloss;120
37;       Lovey Dovey | Matte Lipstick     ;Matte Lipstick;17
38;       Naughty Is The New Nice | Metal Lip Kit     ;Lip Kits;28
39;       In With The New | Metal Lip Kit     ;Lip Kits;28
40;       Midnight Kiss | Metal Lip Kit     ;Lip Kits;28
41;       INFATUATION + PUPPY LOVE + POMEGRANATE LIPSTICK     ;Lipstick;40
42;       CUPID GLOSS + HEAD OVER HEELS MATTE SINGLE     ;Bundles;NA
43;       KKW X KYLIE Lip Set     ;Bundles;42
44;       Stay Cozy | Metallic Lipstick     ;Lipstick;17
45;       Holiday 4 Piece Lip Set     ;Bundles;42
46;       Kylie’s Coconut + Yesss Girl High Gloss Combo     ;Lip Kits;28
47;       High Gloss Bundle     ;High Gloss;100
48;       Always Shining | High Gloss     ;High Gloss;16
49;       Yesss Girl | High Gloss     ;High Gloss;16
50;       Daddy's Girl | High Gloss     ;High Gloss;16
51;       Snatched | High Gloss     ;High Gloss;16
52;       Diva | High Gloss     ;High Gloss;16
53;       Oh You Fancy? | High Gloss     ;High Gloss;16
54;       Klear | High Gloss     ;High Gloss;16
55;       Todd Kraines | Velvet Lip Kit     ;Lip Kits;27
56;       Kylie | Matte Lip Kit     ;Lip Kits;29
57;       Queen | Matte Lip Kit     ;Lip Kits;29
58;       2014 | Matte Lip Kit     ;Lip Kits;29
59;       No Sleep | Matte Lip Kit     ;Lip Kits;29
60;       Creep It Real | Matte Lipstick     ;Lipstick;17
61;       23 | High Gloss     ;High Gloss;16
62;       Kylie's Coconut + Bare Lip Kit Combo     ;Lip Kits;39
63;       Flirtini | Matte Lipstick     ;Matte Lipstick;17
64;       Birthday Behavior | Matte Lipstick     ;Matte Lipstick;17
65;       Twenty | Matte Liquid Lipstick     ;Liquid Lipstick;17
66;       Clove | Matte Liquid Lipstick     ;Liquid Lipstick;17
67;       22 | Matte Liquid Lipstick     ;Liquid Lipstick;17
68;       Bare | Matte Liquid Lipstick     ;Liquid Lipstick;17
69;       Nova | Matte Lipstick     ;Matte Lipstick;17
70;       Boss | Matte Lipstick     ;Matte Lipstick;17
71;       Miami | Matte Lipstick     ;Matte Lipstick;17
72;       Vacay | Matte Lipstick     ;Matte Lipstick;17
73;       Tangerine | Matte Lipstick     ;Matte Lipstick;17
74;       Candy K | Velvet Lip Kit     ;Lip Kits;27
75;       On Wednesdays | Matte Lip Kit     ;Lip Kits;29
76;       Sorta Sweet Trio | Lip Set     ;Liquid Lipstick;NA
77;       Juniper | Gloss     ;Gloss;15
78;       Charm | Velvet Lipstick     ;Liquid Lipstick;16
79;       Dazzle | Velvet Lipstick     ;Liquid Lipstick;16
80;       Angel | Matte Liquid Lipstick     ;Liquid Lipstick;17
81;       One Wish | Matte Liquid Lipstick     ;Liquid Lipstick;17
82;       Victoria | Matte Lip Kit     ;Lip Kits;29
83;       Red Velvet | Velvet Lip Kit     ;Lip Kits;27
84;       Caramel | Lip Liner     ;Lip Liner;12
85;       Iced Latte | Lip Liner     ;Lip Liner;12
86;       Coconut | Lip Liner     ;Lip Liner;12
87;       22 | Lip Liner     ;Lip Liner;12
88;       Dazzle | Lip Liner     ;Lip Liner;12
89;       Apricot | Matte Liquid Lipstick     ;Liquid Lipstick;17
90;       Head Over Heels | Matte Liquid Lipstick     ;Liquid Lipstick;17
91;       High Maintenance | Matte Liquid Lipstick     ;Liquid Lipstick;17
